na,nb,road_length,road_width
1908,1909,120.978535,38
1910,1911,22.131268,44
1912,1913,370.144574,24
1956,1957,292.469359,25
1958,1959,316.554760,15
1961,1962,742.954351,30
1963,1964,622.791074,32
1969,1970,215.268510,16
1973,1974,210.976639,0
1975,1976,264.187244,30
1978,1979,265.898232,15
1980,1981,258.457118,42
2004,2005,196.022861,20
2006,2007,490.552247,50
2008,2009,337.068959,0
2016,2017,468.970720,30
2019,2020,47.358639,50
2021,2022,257.471836,60
2086,2087,717.160186,0
2088,2089,260.166939,30
2093,2094,396.083203,15
2095,2096,881.603108,24
2097,2098,56.176206,60
2099,2100,265.178829,34
2101,2102,82.357962,36
2125,2126,1146.751831,22
2127,2128,122.422183,38
2130,2131,1019.174997,16
2133,2134,48.368763,44
2135,2136,228.819157,30
2137,2138,239.784032,68
2139,2140,252.052095,30
2141,2142,227.548325,30
2143,2144,84.090059,30
2146,2147,259.017259,40
2148,2149,823.946415,30
2150,2151,345.632925,60
2153,2154,335.350844,22
2155,2156,486.758992,52
2157,2158,500.151785,30
2161,2162,810.003876,30
2163,2164,777.093373,28
2165,2166,285.333709,30
2167,2168,150.093117,44
2169,2170,450.822003,22
2179,2180,664.836199,22
2182,2183,41.739299,24
2184,2185,679.990943,30
2190,2191,235.196242,18
2192,2193,36.802456,12
2194,2195,659.892300,32
2197,2198,63.161979,40
2199,2200,164.135149,30
2202,2203,338.960072,32
2204,2205,430.120993,30
2206,2207,279.900879,30
2208,2209,714.976966,30
2210,2211,346.963610,42
2221,2222,345.521927,15
2223,2224,270.266889,64
2225,2226,656.158863,32
2228,2229,109.330892,20
2232,2233,51.957883,0
2235,2236,264.554864,30
2237,2238,259.826281,44
2240,2241,38.892454,30
2278,2279,357.899143,0
2280,2281,484.867012,45
2282,2283,615.359210,30
2284,2285,357.518807,46
2286,2287,116.241807,40
2288,2289,247.599473,18
2290,2291,388.638604,30
2292,2293,670.673222,36
2729,2730,4661.652185,10
2731,2732,410.188196,32
2733,2734,655.666931,30
2735,2736,122.640250,40
2737,2738,397.956387,34
2739,2740,52.147288,30
2742,2743,810.096675,16
2744,2745,103.463311,22
2746,2747,260.068548,44
2748,2749,534.171739,30
2750,2751,27.013321,40
2753,2754,41.288884,48
2764,2765,811.064376,38
2766,2767,774.980302,36
2768,2769,173.528803,48
2770,2771,383.187620,30
2772,2773,187.475077,18
2775,2776,67.222829,60
2777,2778,277.451632,30
2779,2780,430.187025,20
2781,2782,299.286551,40
2784,2785,134.954177,12
2786,2787,253.515876,45
2788,2789,262.530550,28
2790,2791,260.405464,38
2792,2793,676.203703,32
2794,2795,676.513628,30
2799,2800,265.018446,16
2801,2802,13.763514,42
2804,2805,89.313456,18
2806,2807,250.264305,30
2808,2809,279.048627,42
2827,2828,1789.513156,36
2829,2830,555.591745,30
2831,2832,302.262394,34
2833,2834,260.791389,42
2835,2836,180.041727,36
2838,2839,349.276519,28
2841,2842,59.945917,40
2843,2844,138.404670,30
2845,2846,181.957816,32
2855,2856,1985.776755,30
2858,2859,402.152393,32
2860,2861,894.018949,34
2862,2863,128.641988,30
1083,2864,233.732765,34
2867,2868,191.429359,0
2869,2870,11.323133,32
2871,2872,169.439268,36
2873,2874,269.648341,42
2875,2876,259.889119,60
2877,2878,179.918626,30
2879,2880,121.167130,50
2881,2882,259.607558,40
2883,2884,259.501517,44
2885,2886,257.525475,70
2889,2890,112.951266,6
2891,2892,262.391373,30
2932,2933,103.284674,30
2935,2936,612.300631,30
2939,2940,408.127175,35
2941,2942,229.687128,30
2944,2945,208.277816,30
2946,2947,154.457515,30
2948,2949,261.971950,30
2951,2952,112.711002,0
2957,2958,436.925210,0
2962,2963,317.153124,36
2964,2965,119.657451,70
2966,2967,110.678523,32
2968,2969,718.290621,60
2970,2971,658.822334,32
